member_id,received_email,enrolled_program,annual_spending
162,1,0,66.66
163,0,1,35.1
164,1,0,56.3
165,0,0,33.21
166,0,1,32.31
167,1,0,57.11
168,1,0,33.88
169,0,0,60.51
170,0,0,66.41
171,0,0,47.65
172,1,0,52.35
173,0,0,50.57
174,0,0,40.85
175,0,1,47.44
176,0,0,63.52
177,0,0,47.33
178,0,0,52.16
179,0,0,47.22
180,1,0,52.26
181,1,1,21.91
182,1,0,40.05
183,0,0,48.41
184,0,0,36.7
185,1,1,37.86
186,0,1,36.96
187,1,1,39.86
188,1,1,54.94
189,1,1,26.54
190,0,0,54.39
191,1,0,35.8
192,1,0,43.4
193,0,0,27.74
194,0,1,41.66
195,0,0,31.63
196,1,0,65.88
197,0,0,41.31
198,0,0,54.34
199,1,0,29.1
200,0,0,47.16
201,0,0,24.28
202,0,0,54.29
203,0,0,52.15
204,1,1,43.3
205,0,1,31.75
206,0,0,55.72
207,0,1,28.76
208,0,0,56.05
209,1,0,46.42
210,0,0,56.7
211,1,0,75.08
212,1,1,37.49
213,0,0,49.35
214,1,1,44.85
215,1,1,34.85
216,1,0,66.15
217,1,0,44.59
218,1,0,46.62
219,0,0,61.64
220,0,0,48.14
221,1,1,45.55
222,0,0,58.22
223,1,1,28.66
224,0,1,36.25
225,0,0,43.24
226,0,0,46.36
227,1,1,42.0
228,1,1,43.63
229,0,0,41.1
230,0,0,51.73
231,0,0,34.07
232,0,0,75.25
233,0,0,54.16
234,0,0,14.07
235,1,1,36.83
236,0,0,34.16
237,1,0,64.31
238,1,1,24.87
239,1,1,33.95
240,1,1,55.79
241,0,0,67.61
242,0,0,57.92
243,0,0,54.3
244,0,0,40.17
245,0,0,47.72
246,0,1,38.01
247,1,0,32.51
248,0,0,41.7
249,1,0,64.78
250,0,0,71.26
251,0,1,34.99
252,1,1,42.46
253,1,0,47.42
254,1,0,41.11
255,1,0,43.79
256,0,0,45.33
257,0,0,49.66
258,0,0,62.4
259,1,1,48.15
260,1,1,22.4
261,0,1,25.73
262,1,0,54.68
263,0,0,70.77
264,1,0,41.27
265,1,0,46.69
266,1,0,48.22
267,1,0,50.5
268,1,1,52.16
269,0,0,76.38
270,0,1,61.3
271,0,0,50.55
272,1,1,27.3
273,1,0,57.6
274,0,0,52.62
275,1,1,42.41
276,1,1,30.01
277,1,1,30.67
278,0,0,24.96
279,1,0,46.35
280,0,0,48.94
281,0,0,42.72
282,1,1,27.67
283,0,0,55.72
284,0,0,60.32
285,0,0,49.24
286,1,0,40.59
287,0,0,35.09
288,0,0,37.61
289,1,1,11.67
290,1,1,36.05
291,1,0,63.64
292,0,1,20.88
293,1,1,41.5
294,1,0,40.09
295,0,0,67.47
296,1,0,54.07
297,0,0,50.81
298,0,0,38.78
299,0,0,43.33
300,1,0,49.4
301,0,0,44.89
302,0,0,39.27
303,0,0,58.12
304,1,1,54.93
305,1,0,53.04
306,1,0,68.17
307,0,0,51.93
308,0,0,46.73
309,1,0,52.15
310,0,1,34.83
311,1,0,74.22
312,0,0,34.6
313,1,0,62.81
314,0,0,47.32
315,0,1,44.69
316,0,0,55.38
317,0,0,31.48
318,0,1,40.69
319,1,1,37.0
320,0,0,59.56
321,1,0,61.24
322,1,0,27.55
323,1,0,61.24
324,0,1,35.75
325,1,0,58.36
326,1,0,82.48
327,1,1,24.19
328,0,1,36.87
329,1,1,30.42
330,1,0,33.98
331,1,0,62.69
332,0,0,35.95
333,0,0,37.75
334,0,1,50.74
335,0,0,69.33
336,1,1,48.76
337,0,0,64.49
338,0,0,44.24
339,0,0,76.69
340,1,1,39.56
341,0,1,57.65
342,1,1,42.94
343,0,0,49.8
344,0,0,55.64
345,0,1,30.26
346,0,1,47.25
347,1,0,53.89
348,1,0,45.46
349,1,0,44.66
350,0,0,71.06
351,1,1,49.49
352,1,1,30.39
353,1,0,59.26
354,0,0,61.21
355,0,1,22.31
356,0,0,51.76
357,1,0,31.49
358,1,1,49.83
359,1,0,58.48
360,0,0,74.94
361,0,0,56.53
362,1,0,54.12
363,1,0,44.43
364,0,1,19.02
365,1,1,18.44
366,0,0,65.39
367,0,0,56.03
368,0,1,34.22
369,1,1,15.41
370,1,0,42.52
371,0,1,36.6
372,0,0,62.84
373,1,0,93.47
374,1,0,44.59
375,1,1,26.75
376,1,1,28.56
377,1,0,38.86
378,1,1,36.07
379,0,0,41.82
380,0,1,11.59
381,1,0,61.06
382,1,1,51.24
383,0,1,59.64
384,0,1,34.23
385,0,0,76.45
386,1,1,44.61
387,1,0,40.12
388,0,1,35.15
389,1,0,55.6
390,1,0,70.34
391,0,0,55.09
392,1,0,61.61
393,1,1,48.57
394,1,1,43.42
395,1,0,40.19
396,0,0,38.52
397,1,0,40.75
398,1,1,37.1
399,1,0,42.96
400,1,0,53.0
401,0,0,69.14
402,1,0,70.13
403,0,0,36.0
404,0,0,49.31
405,1,0,27.26
406,0,0,42.52
407,1,1,47.89
408,1,0,56.53
409,1,0,65.14
410,1,0,64.75
411,1,0,60.16
412,1,0,60.7
413,1,1,35.47
414,1,1,9.75
415,0,0,53.55
416,0,0,50.43
417,1,0,52.29
418,1,0,60.24
419,1,1,27.09
420,0,1,46.79
421,0,0,53.53
422,1,0,51.03
423,1,0,50.12
424,0,0,60.2
425,0,1,41.07
426,0,1,44.47
427,0,0,46.66
428,1,1,61.48
429,0,0,33.71
430,0,1,37.33
431,1,1,14.67
432,0,0,71.06
433,1,0,64.01
434,1,0,76.87
435,1,0,72.6
436,1,0,70.52
437,1,1,52.02
438,1,1,46.4
439,1,0,45.2
440,1,0,52.75
441,1,0,55.34
442,1,1,44.74
443,0,0,63.95
444,1,0,57.64
445,0,0,46.69
446,0,1,32.37
447,0,0,48.86
448,1,1,27.29
449,1,0,41.47
450,0,0,44.95
451,0,0,36.1
452,0,0,63.32
453,0,0,71.09
454,0,1,38.13
455,1,1,16.19
456,1,0,30.35
457,0,0,63.17
458,1,0,70.72
459,0,0,71.84
460,1,0,59.58
461,1,0,38.12
462,0,0,45.6
463,1,0,32.5
464,1,1,28.19
465,0,0,53.42
466,0,0,57.09
467,0,0,65.44
468,0,0,67.95
469,0,0,44.47
470,0,0,54.34
471,1,0,45.43
472,0,1,10.85
473,1,0,41.53
474,1,0,54.16
475,0,1,43.39
476,1,0,45.43
477,1,0,52.0
478,1,0,38.99
479,0,0,36.75
480,0,1,34.15
481,1,0,50.45
482,0,1,42.52
483,0,0,62.64
484,0,0,60.37
485,1,0,40.83
486,1,0,48.85
487,1,0,58.73
488,1,0,66.08
489,0,0,72.83
490,1,0,39.75
491,0,0,59.86
492,0,1,36.36
493,1,1,28.25
494,0,1,54.48
495,0,0,53.84
496,0,1,26.32
497,0,0,43.77
498,1,1,28.91
499,1,1,29.87
500,0,0,18.97
501,0,1,45.51
502,0,0,52.96
503,1,1,29.36
504,1,1,25.2
505,1,0,47.14
506,0,1,21.02
507,1,0,58.51
508,1,1,36.17
509,0,0,69.08
510,1,1,24.48
511,1,0,61.3
512,1,0,33.03
513,1,1,36.62
514,1,0,52.92
515,1,1,19.87
516,0,1,51.84
517,0,0,51.93
518,1,1,45.96
519,0,0,46.91
520,0,0,57.41
521,0,0,58.26
522,1,0,41.54
523,0,0,41.35
524,1,1,21.27
525,1,0,42.48
526,0,0,45.66
527,0,1,24.92
528,0,1,31.58
529,0,0,33.83
530,1,0,28.55
531,0,1,24.66
532,1,0,28.8
533,0,0,61.05
534,1,0,59.48
535,0,0,55.03
536,1,0,32.53
537,0,1,33.63
538,0,0,55.12
539,0,1,45.17
540,0,0,52.04
541,0,1,9.17
542,1,0,38.35
543,1,1,34.76
544,1,0,52.41
545,0,1,38.92
546,1,0,67.21
547,0,0,54.59
548,0,0,52.6
549,0,1,44.2
550,0,1,21.02
551,0,1,38.74
552,1,1,28.65
553,1,1,49.15
554,0,1,35.88
555,0,0,56.94
556,1,0,53.91
557,0,1,55.65
558,1,0,59.14
559,1,1,19.92
560,0,0,31.72
561,0,1,27.56
562,1,1,38.57
563,0,1,42.3
564,1,0,73.69
565,0,0,47.67
566,1,1,17.3
567,1,0,45.05
568,0,0,58.23
569,1,0,50.66
570,0,0,47.67
571,0,0,52.48
572,1,0,39.89
573,0,1,42.46
574,0,0,34.93
575,1,0,62.89
576,1,1,33.85
577,1,0,55.5
578,0,0,55.46
579,0,1,49.05
580,0,0,55.34
581,1,0,60.18
582,0,1,49.83
583,1,1,44.25
584,1,0,42.24
585,1,0,43.29
586,1,1,45.84
587,1,0,68.23
588,1,0,48.86
589,0,1,44.65
590,1,1,41.74
591,1,0,43.13
592,1,0,71.66
593,0,1,44.16
594,1,0,43.74
595,0,0,53.25
596,0,0,62.63
597,1,0,51.49
598,1,0,72.05
599,0,0,52.22
600,0,1,42.02
601,1,1,23.16
602,1,1,32.84
603,1,1,28.65
604,1,0,39.68
605,1,0,46.07
606,1,0,67.66
607,1,0,40.05
608,1,1,48.68
609,1,1,54.14
610,1,0,57.66
611,0,1,32.87
612,1,0,24.99
613,1,0,45.56
614,1,0,60.67
615,1,1,26.53
616,1,1,43.34
617,1,0,38.11
618,0,1,32.93
619,1,0,54.34
620,1,0,55.9
621,0,0,60.38
622,0,0,40.03
623,0,0,47.87
624,0,0,55.44
625,1,0,54.95
626,1,1,29.39
627,0,0,82.23
628,1,0,34.64
629,0,1,35.91
630,1,1,23.02
631,0,0,60.83
632,1,1,34.95
633,0,0,55.18
634,0,0,57.61
635,1,1,17.45
636,0,0,75.79
637,1,1,11.97
638,0,0,53.09
639,1,0,51.04
640,1,0,62.14
641,0,0,27.96
642,0,0,44.82
643,1,0,66.59
644,1,0,41.31
645,1,0,54.15
646,0,0,51.38
647,1,0,58.17
648,0,0,46.99
649,1,0,29.88
650,0,0,51.45
651,0,1,27.18
652,0,1,35.31
653,1,0,38.4
654,0,0,63.26
655,1,0,57.13
656,1,0,74.33
657,0,1,28.43
658,0,1,48.36
659,0,0,41.19
660,1,1,23.21
661,0,0,69.86
662,1,1,34.12
663,1,0,57.4
664,0,1,45.73
665,0,0,44.36
666,0,0,54.17
667,0,1,17.2
668,1,0,55.34
669,0,0,67.4
670,0,0,60.58
671,1,1,38.15
672,1,0,46.94
673,1,0,63.6
674,1,0,38.61
675,1,0,60.62
676,0,0,45.1
677,0,1,50.45
678,0,0,61.17
679,0,0,38.65
680,0,0,60.04
681,1,0,46.16
682,0,0,46.68
683,1,0,41.01
684,0,0,52.76
685,0,0,39.58
686,1,0,56.44
687,1,0,65.19
688,0,0,46.45
689,0,0,68.63
690,0,0,41.2
691,0,0,45.51
692,1,1,48.34
693,0,0,46.87
694,1,1,46.32
695,0,0,55.44
696,0,1,13.93
697,1,1,42.09
698,1,0,52.08
699,0,0,61.37
700,1,0,48.53
701,1,0,53.56
702,1,0,44.98
703,0,1,40.08
704,0,0,42.66
705,1,0,53.39
706,0,0,51.28
707,1,0,43.55
708,1,0,55.38
709,0,0,59.43
710,1,1,26.49
711,0,0,59.3
712,0,0,40.4
713,1,0,78.23
714,1,0,57.24
715,1,1,43.75
716,0,0,64.83
717,1,1,28.98
718,1,0,65.66
719,1,0,50.72
720,1,0,74.18
721,1,1,48.84
722,0,0,36.23
723,1,1,51.28
724,1,1,39.75
725,0,0,63.5
726,0,0,32.58
727,1,0,51.27
728,1,0,53.76
729,1,0,44.75
730,1,1,17.49
731,1,0,56.03
732,1,0,40.05
733,1,0,48.63
734,1,0,40.82
735,0,0,41.53
736,1,0,46.82
737,0,0,56.71
738,0,1,24.49
739,1,0,60.55
740,1,1,38.03
741,0,1,25.14
742,0,0,76.13
743,0,0,53.83
744,1,0,40.87
745,0,0,48.06
746,1,1,50.37
747,0,0,39.2
748,0,1,26.19
749,0,0,53.67
750,0,0,46.79
751,0,1,37.29
752,0,0,55.14
753,1,1,46.73
754,1,0,57.3
755,0,0,59.72
756,0,1,11.31
757,1,0,56.54
758,0,0,43.21
759,0,0,68.56
760,0,1,20.83
761,1,0,65.95
762,1,0,79.0
763,0,1,30.93
764,1,1,33.21
765,0,0,40.34
766,0,0,32.0
767,0,0,59.87
768,0,1,45.81
769,0,0,53.39
770,1,1,44.08
771,0,0,80.58
772,0,1,41.42
773,0,0,36.0
774,0,0,27.33
775,1,1,39.4
776,0,0,43.91
777,0,0,61.03
778,1,0,47.73
779,0,1,41.47
780,0,1,42.86
781,0,0,56.69
782,0,1,38.26
783,1,1,61.44
784,0,0,55.31
785,1,0,70.92
786,1,0,56.43
787,1,1,44.03
788,0,0,41.02
789,1,0,49.4
790,1,0,61.24
791,0,1,29.02
792,1,0,66.07
793,0,0,64.03
794,1,1,34.37
795,1,0,72.77
796,0,0,24.58
797,0,1,19.4
798,0,1,40.09
799,0,0,31.68
800,1,0,55.4
801,0,0,79.39
802,1,0,57.86
803,0,1,40.94
804,1,0,49.1
805,1,0,49.56
806,1,0,69.11
807,1,0,57.0
808,1,1,38.54
809,1,0,32.44
810,0,1,29.28
811,0,0,54.82
812,1,0,54.75
813,1,0,50.95
814,1,1,59.78
815,0,0,43.54
816,0,0,61.45
817,1,0,63.16
818,0,1,10.96
819,0,1,36.6
820,1,1,22.43
821,1,0,47.73
822,1,1,31.45
823,0,1,10.68
824,0,1,31.68
825,1,0,40.7
826,1,0,65.84
827,1,0,53.77
828,1,1,70.03
829,0,1,19.86
830,0,0,31.56
831,1,0,36.33
832,1,0,52.98
833,0,0,46.11
834,0,0,49.33
835,0,0,53.72
836,0,0,74.05
837,1,0,46.24
838,0,0,51.99
839,0,0,44.61
840,0,0,51.57
841,1,0,60.35
842,1,0,57.07
843,0,1,51.15
844,0,1,23.95
845,1,1,41.54
846,0,0,55.29
847,0,1,27.57
848,0,1,29.36
849,0,0,36.18
850,0,1,37.1
851,0,1,39.4
852,0,0,64.17
853,1,0,45.06
854,0,0,59.47
855,0,0,46.55
856,1,1,27.06
857,1,0,32.47
858,1,1,17.78
859,1,0,48.35
860,1,1,23.98
861,0,1,27.48
862,0,0,44.61
863,0,0,67.88
864,0,0,86.55
865,0,0,71.68
866,0,1,33.56
867,0,0,51.08
868,1,0,70.97
869,0,1,35.93
870,1,1,29.98
871,1,0,64.14
872,0,0,63.39
873,0,0,69.86
874,0,0,67.93
875,0,0,55.15
876,1,1,35.45
877,1,0,56.9
878,1,0,53.45
879,0,0,47.05
880,1,1,24.09
881,1,0,69.18
882,1,1,55.09
883,0,0,61.87
884,1,0,56.81
885,0,0,37.23
886,1,0,70.68
887,0,0,47.77
888,0,0,52.38
889,1,0,61.56
890,1,0,57.2
891,0,0,55.54
892,1,1,33.68
893,0,1,32.28
894,0,0,55.59
895,0,1,11.86
896,0,0,46.85
897,1,0,72.14
898,0,0,56.93
899,0,0,41.64
900,1,0,37.73
901,0,0,47.1
902,0,1,45.23
903,1,0,45.39
904,0,0,67.36
905,0,0,47.15
906,0,0,67.42
907,0,1,21.31
908,0,0,75.47
909,0,0,49.83
910,0,0,65.23
911,0,1,36.97
912,1,0,65.09
913,1,0,56.6
914,1,1,37.28
915,1,0,54.83
916,0,0,74.46
917,1,1,33.49
918,0,1,49.26
919,1,1,39.42
920,1,0,53.46
921,1,0,46.37
922,0,0,54.93
923,0,0,52.49
924,0,0,48.06
925,0,0,32.52
926,0,0,57.2
927,0,0,50.05
928,1,0,38.33
929,0,1,14.84
930,0,0,79.95
931,0,1,43.52
932,1,1,36.21
933,0,1,34.81
934,1,1,40.54
935,1,0,35.26
936,1,0,69.71
937,0,0,54.94
938,1,0,64.73
939,1,1,35.42
940,0,1,24.18
941,1,1,25.26
942,1,0,30.59
943,0,0,44.69
944,1,0,51.41
945,0,1,35.61
946,1,1,32.99
947,0,0,46.3
948,0,0,33.04
949,0,0,44.35
950,1,0,41.13
951,1,1,25.68
952,0,0,46.06
953,1,0,51.16
954,0,0,61.12
955,1,1,21.84
956,0,1,45.95
957,0,0,42.02
958,1,0,60.18
959,1,0,55.3
960,0,1,19.53
961,1,0,62.58
962,0,1,49.0
963,1,0,59.97
964,1,1,34.05
965,1,0,54.86
966,0,0,68.05
967,1,1,67.57
968,0,0,44.47
969,0,0,67.42
970,1,0,55.51
971,0,1,25.93
972,1,1,38.8
973,1,0,38.87
974,0,1,23.47
975,0,0,33.67
976,0,0,87.17
977,1,1,36.76
978,1,0,61.27
979,1,1,40.52
980,1,0,37.81
981,0,1,42.61
982,1,1,52.39
983,1,0,38.0
984,1,1,31.86
985,1,0,39.68
986,1,0,57.06
987,0,0,46.52
988,1,0,48.1
989,1,1,18.64
990,0,0,50.28
991,0,0,62.9
992,0,1,44.63
993,0,0,52.04
994,1,0,55.94
995,1,1,37.49
996,0,0,46.59
997,0,0,42.38
998,0,0,53.65
999,1,1,64.72
1000,1,1,28.31
1001,1,0,63.53
1002,1,1,21.36
1003,1,1,41.14
1004,1,0,52.03
1005,1,0,52.51
1006,1,1,37.0
1007,0,0,54.69
1008,0,0,36.2
1009,1,1,35.21
1010,0,0,54.78
1011,0,0,80.25
1012,0,1,51.1
1013,1,1,19.06
1014,0,1,24.16
1015,1,1,44.2
1016,0,0,72.22
1017,0,1,27.95
1018,1,0,47.04
1019,0,0,60.48
1020,0,1,33.24
1021,0,0,57.88
1022,1,0,66.57
1023,1,0,68.89
1024,0,0,38.41
1025,1,0,37.85
1026,0,0,64.65
1027,1,0,40.48
1028,0,0,48.82
1029,0,1,17.69
1030,0,0,59.98
1031,1,1,5.84
1032,1,0,65.4
1033,0,0,62.52
1034,0,1,47.03
1035,1,0,60.95
1036,0,0,70.5
1037,1,0,63.54
1038,0,0,56.91
1039,0,1,9.22
1040,0,0,61.07
1041,0,0,52.87
1042,0,0,48.03
1043,0,0,44.78
1044,0,1,35.45
1045,1,1,47.9
1046,0,1,30.91
1047,0,1,29.07
1048,1,1,37.87
1049,1,0,69.47
1050,1,0,46.07
1051,1,1,19.01
1052,0,1,22.45
1053,0,0,71.38
1054,1,1,27.07
1055,0,0,29.02
1056,0,0,68.82
1057,1,1,35.84
1058,0,0,40.74
1059,1,0,44.13
1060,1,0,63.9
1061,1,0,57.39
1062,0,0,52.2
1063,0,1,21.73
1064,1,0,54.02
1065,1,0,35.66
1066,0,1,47.0
1067,1,1,31.16
1068,0,1,41.76
1069,0,0,55.98
1070,1,0,45.46
1071,0,0,26.23
1072,1,0,49.44
1073,0,0,66.33
1074,0,0,35.77
1075,0,1,34.58
1076,1,0,55.54
1077,0,1,50.9
1078,0,0,80.84
1079,0,0,63.04
1080,1,0,47.94
1081,0,1,33.31
1082,0,0,49.52
1083,0,0,48.6
1084,0,1,17.5
1085,0,0,66.6
1086,1,1,39.77
1087,0,0,57.94
1088,0,0,42.44
1089,0,0,54.57
1090,0,1,48.91
1091,0,0,64.3
1092,1,1,47.78
1093,1,0,74.39
1094,1,1,24.11
1095,0,0,34.04
1096,1,1,34.71
1097,1,0,64.98
1098,0,0,39.19
1099,1,0,44.1
1100,0,1,18.42
1101,0,0,30.71
1102,0,0,54.84
1103,0,1,40.99
1104,0,0,37.31
1105,0,0,57.33
1106,0,0,50.13
1107,1,1,51.86
1108,0,0,50.66
1109,0,0,64.73
1110,1,0,60.51
1111,0,0,63.78
1112,0,0,57.41
1113,1,0,70.01
1114,0,0,55.71
1115,1,0,67.01
1116,0,1,29.16
1117,1,0,23.14
1118,1,0,46.05
1119,1,0,43.94
1120,1,0,47.6
1121,0,0,71.62
1122,0,0,75.91
1123,0,0,51.86
1124,0,0,42.89
1125,0,0,37.39
1126,1,0,44.37
1127,1,1,30.3
1128,1,0,69.05
1129,0,1,17.47
1130,1,0,45.08
1131,1,0,52.84
1132,1,0,62.63
1133,1,0,51.08
1134,1,0,60.1
1135,1,0,48.76
1136,1,1,64.59
1137,1,0,47.25
1138,0,0,71.09
1139,1,0,65.71
1140,0,0,59.6
1141,1,0,50.0
1142,0,0,39.52
1143,1,0,49.34
1144,1,1,38.17
1145,1,1,34.06
1146,1,0,69.51
1147,0,0,72.24
1148,0,1,43.3
1149,0,0,38.79
1150,0,1,46.49
1151,1,0,57.51
1152,0,1,63.27
1153,1,0,43.72
1154,1,0,62.83
1155,1,1,28.69
1156,1,0,29.03
1157,0,0,56.88
1158,0,0,32.79
1159,0,0,19.37
1160,1,1,35.32
1161,1,0,62.53
1162,1,0,42.93
1163,0,0,47.04
1164,0,0,40.49
1165,1,1,35.06
1166,0,0,56.07
1167,1,0,53.96
1168,1,0,44.0
1169,1,1,56.85
1170,1,1,35.35
1171,1,0,48.19
1172,0,0,51.62
1173,0,0,60.88
1174,0,1,26.82
1175,0,1,28.24
1176,0,0,58.39
1177,0,0,45.77
1178,1,0,41.38
1179,0,1,28.93
1180,0,0,51.99
1181,1,0,36.61
1182,1,1,22.51
1183,0,1,41.94
1184,0,0,65.72
1185,0,1,14.1
1186,0,0,61.88
1187,1,1,54.7
1188,0,1,28.64
1189,1,0,36.77
1190,1,1,30.31
1191,1,1,17.66
1192,0,0,45.85
1193,0,0,64.22
1194,0,0,49.29
1195,1,0,42.25
1196,1,0,71.51
1197,1,1,43.5
1198,0,0,37.16
1199,0,0,59.16
1200,0,0,57.62
1201,0,0,29.36
1202,0,1,26.55
1203,0,0,54.22
1204,1,0,61.63
1205,1,1,27.18
1206,0,0,54.47
1207,0,1,40.08
1208,0,0,41.15
1209,1,1,23.56
1210,0,0,63.24
1211,1,0,45.49
1212,0,1,34.26
1213,0,0,47.83
1214,1,0,99.12
1215,0,0,67.55
1216,0,0,45.64
1217,1,1,23.61
1218,1,0,67.3
1219,0,0,47.27
1220,1,0,63.98
1221,1,0,60.43
1222,1,1,34.54
1223,0,1,32.02
1224,1,0,60.22
1225,0,0,34.34
1226,1,0,67.95
1227,1,0,63.27
1228,0,1,32.14
1229,0,0,30.68
1230,0,0,35.33
1231,0,0,50.45
1232,0,0,44.66
1233,1,1,32.51
1234,1,1,53.14
1235,0,0,61.0
1236,0,0,43.43
1237,0,1,53.73
1238,0,1,19.86
1239,1,0,69.53
1240,0,0,59.52
1241,0,0,55.12
1242,1,1,36.93
1243,1,0,52.73
1244,0,0,35.06
1245,0,0,29.16
1246,1,1,53.31
1247,1,1,39.29
1248,0,0,49.13
1249,0,0,34.95
1250,1,0,40.11
1251,1,1,13.22
1252,1,0,31.71
1253,1,0,69.53
1254,1,0,77.19
1255,1,0,32.95
1256,0,0,35.38
1257,0,0,55.01
1258,0,0,44.17
1259,1,0,59.76
1260,0,0,50.14
1261,1,0,59.08
1262,0,1,44.86
1263,1,1,32.88
1264,1,1,41.12
1265,1,0,58.4
1266,1,0,58.39
1267,0,0,46.59
1268,1,0,85.99
1269,1,0,78.55
1270,0,0,32.35
1271,0,0,55.9
1272,0,1,38.13
1273,0,0,48.71
1274,0,0,68.93
1275,0,0,39.61
1276,1,0,37.77
1277,1,1,27.24
1278,0,0,48.73
1279,1,0,51.76
1280,0,1,55.74
1281,1,0,63.01
1282,0,0,77.11
1283,1,0,44.66
1284,0,0,45.5
1285,1,0,53.83
1286,0,0,60.96
1287,1,0,60.44
1288,0,1,44.33
1289,1,0,46.79
1290,0,0,56.43
1291,1,0,51.1
1292,0,0,42.08
1293,1,1,41.94
1294,0,0,65.81
1295,0,0,77.36
1296,1,1,54.33
1297,1,0,78.85
1298,1,1,41.89
1299,1,0,42.75
1300,1,1,40.63
1301,0,1,37.54
1302,0,0,49.05
1303,0,0,53.57
1304,1,1,30.03
1305,0,0,61.31
1306,1,1,33.26
1307,0,1,29.78
1308,1,1,42.69
1309,0,1,41.04
1310,1,0,59.34
1311,1,1,25.59
1312,0,0,58.02
1313,0,0,48.33
1314,1,1,21.21
1315,1,0,56.66
1316,0,0,48.64
1317,0,0,35.3
1318,1,0,41.27
1319,0,0,30.61
1320,1,0,40.1
1321,0,0,51.49
1322,1,0,68.88
1323,0,1,60.11
1324,1,1,35.42
1325,0,0,62.83
1326,0,0,55.84
1327,0,0,30.46
1328,1,1,27.05
1329,1,0,71.8
1330,0,0,43.06
1331,0,0,44.02
1332,0,0,25.99
1333,0,0,40.97
1334,0,0,44.14
1335,0,1,32.69
1336,1,0,62.87
1337,1,1,23.3
1338,1,0,55.7
1339,0,1,15.98
1340,1,0,33.28
1341,1,0,48.89
1342,0,0,47.49
1343,0,1,41.3
1344,1,0,48.61
1345,1,1,53.06
1346,1,1,17.11
1347,1,0,54.64
1348,0,1,42.85
1349,1,1,47.29
1350,1,1,30.68
1351,1,1,24.99
1352,0,1,30.99
1353,1,0,60.49
1354,1,1,31.54
1355,1,0,55.96
1356,0,1,22.13
1357,0,0,50.62
1358,1,1,52.59
1359,0,1,32.43
